"Variabls","pearson.cor","p1","spearman.cor","p2"
"GDP.pc",-0.522946311302487,0.0149974797221709,-0.561038961038961,0.00919119883245819
"GDP",-0.0157541356239096,0.945962614041948,0.192207792207792,0.402154354511406
"Pop",0.155126714686182,0.501944566851382,0.346753246753247,0.123932567180397
"Pop.density",-0.368909101296961,0.0998295419588563,-0.0727272727272727,0.75397053746022
"Elev",-0.185696959080459,0.420295466678029,-0.0610587885402275,0.792613722685198
"Family.size",0.0764143059431242,0.741994061645838,0.147450478708847,0.52358507321836
"PM10",0.0936855367990847,0.686269512529612,0.0227420450867962,0.922053168674607
"Avg.Tem.Jan",0.218749432002847,0.340762341664759,0.268793408071141,0.23872489157896
"Avg.Tem.Feb",0.186167623793281,0.419097512274013,0.242681008794807,0.289165005811773
"Avg.Tem.Mar",0.14345463454655,0.535021047370582,0.234873576876476,0.305435610614061
"Avg.Pre.Jan",0.268077995719858,0.240025329765147,0.340308091790747,0.131179269180004
"Avg.Pre.Feb",0.313356529259014,0.166609298621112,0.363458918104201,0.105331857099964
"Avg.Pre.Mar",0.306991706385234,0.175855894925997,0.330070684538152,0.143939973101656
"Commuting",-0.152929541747214,0.508093971399016,-0.0428571428571429,0.854473212596554
"PM2.5",0.0192436401640543,0.93401628214965,0.0364228123773368,0.87544878640678
"Lat",-0.2515758683073,0.271295349800981,-0.277922077922078,0.221707130967851
"Avg.HT.Jan",0.219767612484992,0.338463252997901,0.260021220554845,0.254986880298081
"Avg.HT.Feb",0.220629175289265,0.336524975932484,0.251076566723728,0.272279598774493
"Avg.HT.Mar",0.155714329930318,0.50030611686768,0.247145411912181,0.280107184069687
"Avg.LT.Jan",0.222664064047573,0.331973146536976,0.249919294671473,0.274569490634838
"Avg.LT.Feb",0.191695153366688,0.405167415867096,0.222222269133838,0.332958274745712
"Avg.LT.Mar",0.153711176066928,0.505902197609891,0.236979970229669,0.300992060947008
"expr_mw",0.98581760163396,3.42375973621677e-16,0.985714285714286,4.4925299240626e-06
"logit",0.661638716046134,0.00108851747593248,0.609090909090909,0.00407195872167221
"logit_mw",0.0191964642434299,0.934177703710433,0.419480519480519,0.0596069489328315
